,Lon,Lat,Temperature,Salinity,Depth
0,-5.0389883,50.1642979,7.6591,32.833,0.14907
1,-5.0389883,50.1642979,7.652,32.786,0.44721
2,-5.0389883,50.1642979,7.6415,32.764,0.74536
3,-5.0389883,50.1642979,7.6354,32.711,1.0435
4,-5.0389883,50.1642979,7.6336,32.574,1.3417
5,-5.0389883,50.1642979,7.6368,32.292,1.6399
6,-5.0389883,50.1642979,7.6384,31.907,1.9382
7,-5.0389883,50.1642979,7.6366,31.8,2.2366
8,-5.0389883,50.1642979,7.6335,31.866,2.535
9,-5.0389883,50.1642979,7.6311,32.117,2.8333
10,-5.0389883,50.1642979,7.6301,32.286,3.1316
11,-5.0389883,50.1642979,7.629,32.303,3.4298
12,-5.0389883,50.1642979,7.6282,32.323,3.7281
13,-5.0389883,50.1642979,7.6258,32.359,4.0263
14,-5.0389883,50.1642979,7.6247,32.385,4.3246
15,-5.0389883,50.1642979,7.623,32.423,4.6228
16,-5.0389883,50.1642979,7.6229,32.469,4.921
17,-5.0389883,50.1642979,7.6215,32.519,5.2192
18,-5.0389883,50.1642979,7.6175,32.594,5.5174
19,-5.0389883,50.1642979,7.6143,32.673,5.8156
20,-5.0389883,50.1642979,7.6118,32.957,6.1137
21,-5.0389883,50.1642979,7.6096,33.147,6.4118
22,-5.0389883,50.1642979,7.6083,33.247,6.7098
23,-5.0389883,50.1642979,7.606,33.278,7.0079
24,-5.0389883,50.1642979,7.6063,33.395,7.3059
25,-5.0389883,50.1642979,7.607,33.507,7.6039
26,-5.0389883,50.1642979,7.6064,33.592,7.9018
27,-5.0389883,50.1642979,7.6042,33.757,8.1998
28,-5.0389883,50.1642979,7.6008,33.841,8.4977
29,-5.0389883,50.1642979,7.5988,33.881,8.7956
30,-5.0389883,50.1642979,7.599,33.909,9.0935
31,-5.0389883,50.1642979,7.5985,33.946,9.3913
32,-5.0389883,50.1642979,7.5967,33.979,9.6892
33,-5.0389883,50.1642979,7.5927,34.019,9.9871
34,-5.0389883,50.1642979,7.5872,34.035,10.285
35,-5.0389883,50.1642979,7.5825,34.043,10.583
36,-5.0389883,50.1642979,7.5781,34.083,10.881
37,-5.0389883,50.1642979,7.5718,34.129,11.178
38,-5.0389883,50.1642979,7.5675,34.192,11.476
39,-5.0389883,50.1642979,7.5633,34.26,11.774
40,-5.0389883,50.1642979,7.5607,34.27,12.072
41,-5.0389883,50.1642979,7.5602,34.282,12.37
42,-5.0389883,50.1642979,7.5598,34.285,12.667
43,-5.0389883,50.1642979,7.558,34.297,12.965
44,-5.0389883,50.1642979,7.5556,34.299,13.263
45,-5.0389883,50.1642979,7.5552,34.296,13.561
46,-5.0389883,50.1642979,7.5545,34.302,13.859
47,-5.0389883,50.1642979,7.5543,34.304,14.156
48,-5.0389883,50.1642979,7.5544,34.302,14.454
49,-5.0389883,50.1642979,7.5539,34.314,14.752
50,-5.0389883,50.1642979,7.5525,34.311,15.05
51,-5.0389883,50.1642979,7.5515,34.319,15.347
52,-5.0389883,50.1642979,7.5509,34.312,15.645
53,-5.0389883,50.1642979,7.5509,34.322,15.943
54,-5.0389883,50.1642979,7.5499,34.323,16.241
55,-5.0389883,50.1642979,7.5499,34.321,16.539
56,-5.0389883,50.1642979,7.5491,34.329,16.836
57,-5.0389883,50.1642979,7.5498,34.327,17.134
58,-5.0389883,50.1642979,7.5501,34.322,17.432
59,-5.0389883,50.1642979,7.5501,34.33,17.73
60,-5.0389883,50.1642979,7.5488,34.332,18.027
61,-5.0389883,50.1642979,7.5487,34.335,18.325
62,-5.0389883,50.1642979,7.5481,34.339,18.623
63,-5.0389883,50.1642979,7.5477,34.338,18.921
64,-5.0389883,50.1642979,7.5468,34.347,19.219
65,-5.0389883,50.1642979,7.5465,34.35,19.516
66,-5.0389883,50.1642979,7.5452,34.355,19.814
67,-5.0389883,50.1642979,7.5457,34.361,20.112
68,-5.0389883,50.1642979,7.5457,34.368,20.41
69,-5.0389883,50.1642979,7.5455,34.358,20.707
70,-5.0389883,50.1642979,7.5455,34.365,21.005
71,-5.0389883,50.1642979,7.5459,34.372,21.303
72,-5.0389883,50.1642979,7.5449,34.367,21.601
73,-5.0389883,50.1642979,7.5449,34.371,21.898
74,-5.0389883,50.1642979,7.5455,34.377,22.196
75,-5.0389883,50.1642979,7.5442,34.382,22.494
76,-5.0389883,50.1642979,7.5429,34.386,22.792
77,-5.0389883,50.1642979,7.5428,34.382,23.089
78,-5.0389883,50.1642979,7.5426,34.381,23.387
79,-5.0389883,50.1642979,7.5418,34.389,23.685
80,-5.0389883,50.1642979,7.5419,34.388,23.983
81,-5.0389883,50.1642979,7.5412,34.39,24.28
82,-5.0389883,50.1642979,7.542,34.396,24.578
83,-5.0389883,50.1642979,7.5446,34.394,24.863