Country;Alpha_2_code;Alpha_3_code;Numeric
Austria;AT;AUT;40
Belgium;BE;BEL;56
Bosnia and Herzegovina;BA;BIH;70
Croatia;HR;HRV;191
Cyprus;CY;CYP;196
Czechia;CZ;CZE;203
Denmark;DK;DNK;208
Estonia;EE;EST;233
Finland;FI;FIN;246
France;FR;FRA;250
French Guiana;GF;GUF;254
French Polynesia;PF;PYF;258
French Southern Territories (the);TF;ATF;260
Germany;DE;DEU;276
Greece;GR;GRC;300
Greenland;GL;GRL;304
Hungary;HU;HUN;348
Iceland;IS;ISL;352
Italy;IT;ITA;380
Latvia;LV;LVA;428
Liechtenstein;LI;LIE;438
Lithuania;LT;LTU;440
Luxembourg;LU;LUX;442
Malta;MT;MLT;470
Moldova (the Republic of);MD;MDA;498
Monaco;MC;MCO;492
Montenegro;ME;MNE;499
Netherlands (the);NL;NLD;528
Norfolk Island;NF;NFK;574
Norway;NO;NOR;578
Poland;PL;POL;616
Portugal;PT;PRT;620
Puerto Rico;PR;PRI;630
Republic of North Macedonia;MK;MKD;807
Romania;RO;ROU;642
Russian Federation (the);RU;RUS;643
Reunion;RE;REU;638
Serbia;RS;SRB;688
Slovakia;SK;SVK;703
Slovenia;SI;SVN;705
Spain;ES;ESP;724
Svalbard and Jan Mayen;SJ;SJM;744
Sweden;SE;SWE;752
Switzerland;CH;CHE;756
Turkey;TR;TUR;792
United Kingdom of Great Britain and Northern Ireland (the);GB;GBR;826
Virgin Islands (British);VG;VGB;92